Date;Revenue;Cost of sales;Gross profit;Operating profit;Net profit;Headline earnings;Shares in issue;Non-current assets;Current assets;Non-current liabilities;Current liabilities;Cash from operations;Cash from investing;Cash from financing;Change in cash;Full year;Half year
07-09-2001;15185 ;-9770 ;5415 ;3546 ;2918 ;2787 ;5445303089;132291 ;132586 ;74150 ;172804 ;4971 ;-330 ;-334 ;1479 ;1;0
17-09-2002;18721 ;-12305 ;6416 ;4653 ;3922 ;3745 ;5445303089;192806 ;181994 ;81510 ;271871 ;6425 ;-1858 ;-87 ;6579 ;1;0
01-03-2003;13304 ;-9076 ;4228 ;2212 ;1594 ;1498 ;5445000000;196040 ;190294 ;81987 ;281935 ;4653 ;-7717 ;425 ;-2639 ;0;1
16-09-2003;26293 ;-17189 ;9104 ;5212 ;4052 ;3774 ;5524042097;204028 ;191665 ;84863 ;287399 ;5678 ;-1374 ;305 ;4609 ;1;0
03-03-2004;11860 ;-7192 ;4668 ;8117 ;2442 ;2303 ;5540400000;219100 ;197945 ;90624 ;300046 ;-1675 ;-8248 ;1833 ;-8090 ;0;1
14-07-2004;22412 ;-13505 ;8907 ;6541 ;4989 ;4712 ;5317088855;284432 ;140389 ;134827 ;264259 ;30 ;-7966 ;3101 ;-4835 ;1;0
18-02-2005;11835 ;-7237 ;4598 ;3785 ;3374 ;3201 ;5362700000;226671 ;224025 ;104609 ;314981 ;-3237 ;-7658 ;9450 ;-1445 ;0;1
20-07-2005;23417 ;-13920 ;9497 ;8403 ;7102 ;6810 ;5306400000;247373 ;214858 ;109442 ;320643 ;-38 ;-3086 ;3146 ;22 ;1;0
28-02-2006;13245 ;-7840 ;5405 ;11717 ;3934 ;3645 ;5250590002;278799 ;225176 ;137106 ;333462 ;711 ;-20973 ;4253 ;-16009 ;0;1
20-07-2006;30395 ;-15383 ;15012 ;15028 ;9988 ;8825 ;5317609149;314061 ;265726 ;174106 ;366177 ;2878 ;-282 ;6995 ;9591 ;1;0
28-02-2007;21773 ;-11877 ;9896 ;9191 ;6108 ;5381 ;5336501229;348452 ;313209 ;173285 ;446641 ;-10283 ;-4989 ;-285 ;-15557 ;0;1
18-07-2007;45463 ;-25844 ;19619 ;16698 ;13078 ;11511 ;5314831808;409038 ;312521 ;178972 ;495367 ;9373 ;-9887 ;-102 ;-616 ;1;0
04-03-2008;27677 ;-15246 ;12431 ;7139 ;7095 ;6283 ;5307945574;442929 ;338307 ;176916 ;558258 ;10891 ;-5673 ;1712 ;6930 ;0;1
16-07-2008;55009 ;-31830 ;23179 ;13540 ;13033 ;11309 ;5283101659;482896 ;337162 ;179198 ;589794 ;7120 ;-8576 ;3129 ;1673 ;1;0
10-03-2009;32311 ;-19392 ;12919 ;4786 ;5120 ;4536 ;5212555573;466399 ;383470 ;173505 ;623183 ;15181 ;-2988 ;-931 ;11262 ;0;1
15-07-2009;60516 ;-34526 ;25990 ;7732 ;7838 ;6965 ;5213551371;462050 ;347801 ;177935 ;579819 ;9761 ;-5114 ;-906 ;3741 ;1;0
09-03-2010;23660 ;-11179 ;12481 ;6825 ;5018 ;4710 ;5267202456;450971 ;351418 ;179591 ;566176 ;2444 ;-1341 ;-692 ;411 ;0;1
14-07-2010;38817 ;-22467 ;16350 ;12307 ;10674 ;9788 ;5302431206;653130 ;192110 ;205564 ;580713 ;9652 ;162 ;1085 ;3340 ;1;0
08-03-2011;19133 ;-10754 ;8379 ;7267 ;12591 ;12230 ;5407888750;475600 ;220209 ;15073 ;622988 ;3476 ;-341 ;1390 ;4525 ;0;1
13-07-2011;38187 ;-20818 ;17369 ;18572 ;21527 ;20366 ;5492848142;490048 ;207879 ;17726 ;615982 ;12155 ;1777 ;-6725 ;7207 ;1;0
01-03-2012;20278 ;-9748 ;10530 ;6590 ;6590 ;6204 ;5556569287;525384 ;236277 ;15972 ;680590 ;6137 ;-2364 ;313 ;4086 ;0;1
11-07-2012;41335 ;-19453 ;21882 ;17889 ;14369 ;13196 ;5572471134;547666 ;222099 ;24896 ;675062 ;4240 ;-3763 ;3464 ;3941 ;1;0
06-03-2013;25852 ;-15652 ;10200 ;10200 ;7574 ;7169 ;5487496537;587783 ;237544 ;23605 ;728224 ;17167 ;-2374 ;-495 ;14298 ;0;1
10-07-2013;43821 ;-19106 ;24715 ;20031 ;15678 ;14539 ;5529811837;622678 ;246991 ;24724 ;765317 ;13842 ;-3200 ;304 ;10946 ;1;0
04-03-2014;29571 ;-17047 ;12524 ;12524 ;9430 ;8983 ;5536591747;658522 ;235909 ;19563 ;792749 ;5173 ;-3335 ;-1626 ;212 ;0;1
09-07-2014;50412 ;-20534 ;29878 ;25328 ;19786 ;18440 ;5543002061;710440 ;235095 ;27380 ;829938 ;11878 ;-4190 ;4343 ;12031 ;1;0
