Date;Revenue;Cost of sales;Gross profit;Operating profit;Net profit;Headline earnings;Shares in issue;Non-current assets;Current assets;Non-current liabilities;Current liabilities;Cash from operations;Cash from investing;Cash from financing;Change in cash;Full year;Half year
03-08-2001;8610;-6006;2604;1869;-2048;-2030;240000000;144257;28755;17917;157141;678;-886;145;-63;0;1
03-03-2002;17186;-11918;5268;4551;1;-164;240800000;162714;34977;25174;177160;-6492;-3065;2651;-6906;1;0
30-07-2002;9575;-6718;2857;1989;799;738;241900000;164848;35879;22282;179946;3389;-237;-146;3006;0;1
13-02-2003;23822;-17522;6300;3313;1317;984;253000000;227543;46241;28545;237063;802;-6456;8302;2648;1;0
29-07-2003;14669;-11357;3312;1246;488;258;270800000;268990;46713;25976;282331;-9659;1287;-32;-8404;0;1
24-02-2004;28141;-21333;6808;938;-1334;-1600;271500000;240371;81058;28476;290255;-13762;2654;3591;-7517;1;0
08-08-2004;11707;-8122;3585;684;563;380;327800000;233737;66616;32323;257527;-3967;1228;2321;-418;0;1
23-02-2005;23825;-16258;7567;1730;1338;974;360900000;245726;81512;32924;283498;-7090;2836;2077;-2177;1;0
05-08-2005;10818;-6794;4024;1980;1603;1404;394400000;246808;89350;34659;287193;4347;-127;-238;3982;0;1
21-02-2006;23234;-14705;8529;5270;4297;4297;397196966;277579;74679;57222;279791;8176;-927;-410;6839;1;0
08-08-2006;12827;-7788;5039;3408;2582;2326;402900000;305720;78888;59440;297130;-2925;172;1005;-1748;0;1
22-02-2007;28521;-17558;10963;6841;5061;4533;399500000;341984;82928;55852;339672;4605;-1057;-1131;2417;1;0
07-08-2007;19075;-12507;6568;3944;3087;2798;396700000;378072;82760;57781;370577;2648;-1572;1917;2993;0;1
28-02-2008;42001;-27855;14146;8745;6641;6025;398700000;405633;83223;55805;397926;-657;-2063;2122;-598;1;0
07-08-2008;26633;-18673;7960;4942;3902;3597;403600000;445721;103286;56374;454535;3421;-592;-498;2331;0;1
26-02-2009;57986;-41816;16170;8718;7004;6410;405400000;466365;100658;33988;492962;1650;-999;-685;-34;1;0
05-08-2009;27380;-19495;7885;3476;2820;2564;413900000;464484;92834;36197;478623;1231;-384;-551;296;0;1
26-02-2010;50537;-34231;16306;6664;5412;4826;423400000;483684;87019;42553;483166;-2006;-3171;4878;-299;1;0
03-08-2010;22173;-14091;8082;2888;2314;2036;440700000;496610;94237;51806;493469;-3225;-2453;6644;966;0;1
01-03-2011;44377;-27769;16608;6499;5136;4811;443900000;514633;94085;56417;504487;304;-4438;5504;1370;1;0
02-08-2011;21030;-12347;8683;3924;2919;2764;451200000;511012;98863;55300;504847;4966;-2147;833;3652;0;1
01-03-2012;42880;-24846;18034;8677;6503;6879;452900000;540423;107704;44138;551304;8863;-3702;557;5718;1;0
02-08-2012;22362;-12720;9642;5057;3653;3503;455700000;557720;112301;61800;553365;2049;-2155;-1115;-1221;0;1
26-02-2013;44730;-25050;19680;10686;7812;7476;456300000;567290;115689;59943;565306;8943;-4696;-2552;1695;1;0
07-08-2013;22400;-12091;10309;5460;4047;3910;459200000;595690;118640;58219;596294;8521;-1742;-5604;1175;0;1
25-02-2014;46087;-24867;21220;11946;8957;8637;460200000;620691;128903;64636;620622;12156;-4341;-800;7015;1;0
06-08-2014;25282;-14019;11263;6397;4781;4598;463400000;654677;129115;69303;647411;-4639;-2475;738;-6376;0;1
24-02-2015;52619;-29658;22961;13495;10188;9796;464400000;665361;143952;68415;669987;5818;-9455;-2132;-5769;1;0
05-08-2015;28513;-16838;11675;6917;5533;5328;472100000;699061;167563;87483;706567;8666;647;6764;16077;0;1
02-03-2016;55128;-32724;22404;11039;8210;8163;475050000;706204;154529;47986;752793;5978;-2070;4884;8792;1;0
02-08-2016;33212;-20184;13028;8026;5651;5442;478000000;753263;190925;99987;763315;4183 ;-1190 ;633 ;3625 ;0;1
28-02-2017;73395;-46969;26426;14719;10659;10132;477755134;770985;195037;73788;810523;4289;-3004;3536;4821 ;1;0
03-08-2017;37364;-23816;13548;8810;5579;5244;479930073;771458;194372;79457;801714;2681 ;-2422 ;1048 ;1307 ;0;1
03-03-2018;75299;-47675;27624;17346;12299;11625;487894673;758427;224887;73996;820779;4400,3 ;-3081,9 ;3627,7 ;4946 ;1;0
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
